Ano,Municipio_corrigido,Orgao,NomeProjeto,Subtitulo,Valor,Deputado,Partido
2025,Espumoso,Secretaria do Esporte e Lazer,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 997 - Projetos Esportivos - Espumoso,100000,Eduardo Loureiro,PDT
2025,Barros Cassal,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 201 - Nucleos de Esporte e Lazer - Barros Cassal,100000,Edivilson Brum,MDB
2025,Cachoeira do Sul,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 217 - Gres Unidos da Vila - Cachoeira do Sul,100000,Cláudio Tatsch,PL
2025,Cachoeira do Sul,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 225 - Clube de Laco das Estrelas - Cachoeira do Sul,100000,Cláudio Tatsch,PL
2025,Vila Nova do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 581 - Atencao Basica - Vila Nova do Sul,100000,Dr Thiago Duarte,UNIÃO
2025,Novo Cabrais,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 695 - Atencao Basica - Novo Cabrais,100000,Adão Pretto Filho,PT
2025,Cerro Branco,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 719 - Atencao Basica - Cerro Branco,100000,Kelly Moraes,PL
2025,Cachoeira do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 830 - Atencao Basica - Cachoeira do Sul,100000,Pedro Pereira,PSDB
2025,Paraiso do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1194 - Atencao Basica - Paraiso do Sul,100000,Adolfo Brito,PP
2025,Cachoeira do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 341 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,100000,"Neri, o Carteiro",PSDB
2025,Cerro Branco,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 861 - Transporte Sanitario Eletivo - Cerro Branco,100000,Gerson Burmann,PDT
2025,Esmeralda,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 368 - Atencao Basica - Esmeralda,100000,Carlos Búrigo,MDB
2025,Muitos Capoes,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 577 - Atencao Basica - Muitos Capoes,100000,Rodrigo Lorenzoni,PL
2025,Campestre da Serra,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1218 - Atencao Basica - Campestre da Serra,100000,Vilmar Zanchin,MDB
2025,Muitos Capoes,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 784 - Transporte Sanitario Eletivo - Muitos Capoes,100000,Paparico Bacchi,PL
2025,Sarandi,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 151 - Atencao Basica - Sarandi,100000,Aloísio Classmann,UNIÃO
2025,Liberato Salzano,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 194 - Atencao Basica - Liberato Salzano,100000,Edivilson Brum,MDB
2025,Palmeira das Missoes,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 699 - Atencao Basica - Palmeira das Missoes,100000,Adão Pretto Filho,PT
2025,Sarandi,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 761 - Hospital Comunitario Sarandi - Sarandi,100000,Luiz Marenco,PDT
2025,Tres Palmeiras,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 867 - Transporte Sanitario Eletivo - Tres Palmeiras,100000,Gerson Burmann,PDT
2025,Sao Francisco de Assis,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 860 - Transporte Sanitario Eletivo - Sao Francisco de Assis,100000,Gerson Burmann,PDT
2025,Capao do Cipo,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 978 - Transporte Sanitario Eletivo - Capao do Cipo,100000,Eduardo Loureiro,PDT
2025,Barra do Guarita,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 261 - Atencao Basica - Barra do Guarita,100000,Jeferson Fernandes,PT
2025,Barra do Guarita,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 693 - Atencao Basica - Barra do Guarita,100000,Adão Pretto Filho,PT
2025,Tenente Portela,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 819 - Atencao Basica - Tenente Portela,100000,Pedro Pereira,PSDB
2025,Tenente Portela,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 76 - Hospital Santo Antonio - Tenente Portela,100000,Rafael Braga,MDB
2025,Campo Novo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 267 - Associacao Hospitalar de Caridade - Campo Novo,100000,Jeferson Fernandes,PT
2025,Tenente Portela,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 657 - Hospital Santo Antonio - Tenente Portela,100000,Delegada Nadine,PSDB
2025,Esperanca do Sul,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 198 - Transporte Sanitario Eletivo - Esperanca do Sul,100000,Edivilson Brum,MDB
2025,Coronel Bicaco,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 868 - Transporte Sanitario Eletivo - Coronel Bicaco,100000,Gerson Burmann,PDT
2025,Tenente Portela,Secretaria de Desenvolvimento Social,Ações de Proteção Social - Ep,Ep 252 - Acoes de Protecao Social - Tenente Portela,100000,Jeferson Fernandes,PT
2025,Em Definicao,"Secretaria de Justiça, Cidadania e Direitos Humanos",Expansão e Fortalecimento do Controle Social No Rs - Ep,Ep 327 - Conferencia Estadual dos Povos de Terreiro,100000,Matheus Gomes,PSOL
2025,Em Definicao,"Secretaria de Justiça, Cidadania e Direitos Humanos",Expansão e Fortalecimento do Controle Social No Rs - Ep,Ep 506 - Conferencia Estadual dos Povos de Terreiro,100000,Luciana Genro,PSOL
2025,Em Definicao,Secretaria de Trabalho e Desenvolvimento Profissional,Desenvolvimento e Qualificação Profissional - Ep,Ep 965 - Associacao Junior Achivement - Estado,100000,Felipe Camozzato,NOVO
2025,Porto Alegre,Universidade Estadual do Rio Grande do Sul,Projeto de Extensão Para O Desenvolvimento Regional - Ep,Ep 315 - Projeto de Extensao - Porto Alegre,98280,Matheus Gomes,PSOL
2023,Caxias do Sul,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Caxias do Sul,Ep 485 - Instituto Rosa Del Este - Caxias do Sul,97800,Luciana Genro,PSOL
2023,Porto Alegre,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Porto Alegre,Ep 480 - Associacao Maes e Pais Pela Democracia - Porto Alegre,97000,Luciana Genro,PSOL
2025,Porto Alegre,Universidade Estadual do Rio Grande do Sul,Projeto de Extensão Para O Desenvolvimento Regional - Ep,Ep 325 - Projeto de Extensao - Porto Alegre,97000,Matheus Gomes,PSOL
2024,Veranopolis,Secretaria da Segurança Pública,"Construção, Reformas e Aparelhamento do Corpo de Bombeiros Militar - Ep",Ep 635 - Cbm - Veranopolis,90500,Prof Claudio Branchieri,PODE
2022,Alvorada,Secretaria da Saúde,Emenda Parlamentar 2022 de Alvorada,Ep 183 - Atencao Basica - Alvorada,90000,Faisal Karam,PSDB
2022,Paulo Bento,Secretaria da Saúde,Emenda Parlamentar 2022 de Paulo Bento,Ep 470 - Atencao Basica - Paulo Bento,90000,Fran Somensi,REPUBLICANOS
2022,Porto Alegre,Secretaria da Saúde,Emenda Parlamentar 2022 de Porto Alegre,Ep 154 - Hospital de Clinicas - Porto Alegre,90000,Luciana Genro,PSOL
2022,Sertao,Secretaria da Saúde,Emenda Parlamentar 2022 de Sertao,Ep 11 - Hospital Sao Jose - Sertao,90000,Sérgio Turra,PP
2022,Severiano de Almeida,Secretaria da Saúde,Emenda Parlamentar 2022 de Severiano de Almeida,Ep 551 - Veiculo - Severiano de Almeida,90000,Gilberto Capoani,MDB
2022,Tres Arroios,Secretaria da Saúde,Emenda Parlamentar 2022 de Tres Arroios,Ep 398 - Veiculo - Tres Arroios,90000,Gilberto Capoani,MDB
2022,Estancia Velha,Secretaria do Esporte e Lazer,Emenda Parlamentar 2022 de Estancia Velha,Ep 358 - Quadra Polisportiva - Praca Geraldo Machado - Estancia Velha,90000,Neri o Carteiro,SOLIDARIEDADE
2023,Porto Alegre,Secretaria de Desenvolvimento Urbano e Metropolitano,Emenda Parlamentar 2023 de Porto Alegre,Ep 196 - Pavimentacao Estrada Jacques da Rosa - Porto Alegre,90000,Dr Thiago Duarte,UNIÃO
2024,Cacapava do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 909 - Hospital de Caridade Dr Victor Lang - Cacapava do Sul,90000,Felipe Camozzato,NOVO
2024,Nova Prata,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 900 - Fms - Hospital Sao Joao Batista - Nova Prata,90000,Felipe Camozzato,NOVO
2025,Caxias do Sul,Secretaria de Desenvolvimento Social,Direitos Humanos da Pessoa Idosa - Ep,Ep 447 - Lar da Velhice Sao Francisco de Assis - Caxias do Sul,90000,Prof Claudio Branchieri,PODE
2025,Caxias do Sul,Secretaria de Desenvolvimento Social,Direitos Humanos da Pessoa Idosa - Ep,Ep 454 - Associacao Mao Amiga - Caxias do Sul,90000,Prof Claudio Branchieri,PODE
2025,Porto Alegre,Secretaria do Meio Ambiente e Infraestrutura,Implementação de Atividades Voltadas a Educação Ambiental - Ep,Ep 289 - Associacao Brasileira de Eng Sanitaria e Ambiental - Abes - Porto Alegre,90000,Miguel Rossetto,PT
2024,Caxias do Sul,Secretaria da Educação,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 620 - Esc Est Ens Fun Coronel Jose Pena de Moraes - Caxias do Sul,85521,Prof Claudio Branchieri,PODE
2023,RS,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 Em Definicao,Ep 482 - Redes de Atendimento a Lgbts Em Situacao Ou Risco de Violencia,85000,Luciana Genro,PSOL
2022,Porto Alegre,Secretaria da Cultura,Emenda Parlamentar 2022 de Porto Alegre,Ep 314 - Museu Estadual do Hip Hop - Porto Alegre,80000,Sofia Cavedon,PT
2022,RS,Secretaria da Cultura,Emenda Parlamentar 2022 Em Definicao,Ep 313 - Politica Estadual de Cultura Viva,80000,Sofia Cavedon,PT
2022,RS,Secretaria da Cultura,Emenda Parlamentar 2022 Em Definicao,Ep 313 - Politica Estadual de Cultura Viva,80000,Sofia Cavedon,PT
2022,Tramandai,Secretaria da Educação,Emenda Parlamentar 2022 de Tramandai,Ep 490 - Eeem Assis Brasil - Tramandai,80000,Gabriel Souza,MDB
2022,Caibate,Secretaria da Educação,Emenda Parlamentar 2022 de Caibate,Ep 244 - Eeeb Jose Adolfo Meister - Caibate,80000,Any Ortiz,CIDADANIA
2022,Capao da Canoa,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",Emenda Parlamentar 2022 de Capao da Canoa,Ep 563 - Apae - Capao da Canoa,80000,Adolfo Brito,PP
2022,Camaqua,Secretaria da Saúde,Emenda Parlamentar 2022 de Camaqua,Ep 455 - Hospital Nossa Senhora Aparecida - Camaqua,80000,Zé Nunes,PT
2022,Nonoai,Secretaria da Saúde,Emenda Parlamentar 2022 de Nonoai,Ep 459 - Hospital Comunitario Nonoai - Nonoai,80000,Elton Weber,PSB
2022,Santa Rosa,Secretaria da Saúde,Emenda Parlamentar 2022 de Santa Rosa,Ep 316 - Hospital Vida Saude - Santa Rosa,80000,Sofia Cavedon,PT
2022,Barracao,Secretaria da Saúde,Emenda Parlamentar 2022 de Barracao,Ep 395 - Veiculo - Barracao,80000,Gilberto Capoani,MDB
2022,Liberato Salzano,Secretaria da Saúde,Emenda Parlamentar 2022 de Liberato Salzano,Ep 545 - Veiculo - Liberato Salzano,80000,Gilberto Capoani,MDB
2022,Vila Langaro,Secretaria da Saúde,Emenda Parlamentar 2022 de Vila Langaro,Ep 400 - Veiculo - Vila Langaro,80000,Gilberto Capoani,MDB
2022,Dois Irmaos,Secretaria da Segurança Pública,Emenda Parlamentar 2022 de Dois Irmaos,Ep 35 - Videomonitoramento - Dois Irmaos,80000,Issur Koch,PP
2022,Herval,Secretaria de Desenvolvimento Rural,Emenda Parlamentar 2022 de Herval,Ep 522 - Agricultura Familiar - Herval,80000,Marcus Vinícius,PP
2022,Pelotas,Secretaria de Esporte e Lazer,Emenda Parlamentar 2022 de Pelotas,Ep 516 - Praca Ronna - Pelotas,80000,Marcus Vinícius,PP
2022,RS,Secretaria de Justica e Sistemas Penal e Socioeducativo,Emenda Parlamentar 2022 Em Definicao,Ep 205 - Equipamentos - Gaes - Susepe,80000,Tenente Coronel Zucco,PSL
2022,Capivari do Sul,Secretaria do Esporte e Lazer,Emenda Parlamentar 2022 de Capivari do Sul,Ep 246 - Praça - Capivari do Sul,80000,Any Ortiz,CIDADANIA
2022,Palmares do Sul,Secretaria do Esporte e Lazer,Emenda Parlamentar 2022 de Palmares do Sul,Ep 245 - Nucleos de Esporte e Lazer - Palmares do Sul,80000,Any Ortiz,CIDADANIA
2023,Ernestina,"Secretaria da Agricultura, Pecuária, Produção Sustentável e Irrigação",Emenda Parlamentar 2023 de Ernestina,Ep 26 - Patrulha Agricola - Ernestina,80000,Sérgio Turra,PP
2023,Barao do Cotegipe,Secretaria da Educação,Emenda Parlamentar 2023 de Barao do Cotegipe,Ep 23 - Col Estadual Mario Quintana - Barao de Cotegipe,80000,Sérgio Turra,PP
2023,Feliz,Secretaria da Saúde,Emenda Parlamentar 2023 de Feliz,Ep 89 - Atencao Basica - Feliz,80000,Elton Weber,PSB
2023,Cacapava do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Cacapava do Sul,Ep 106 - Hospital de Caridade Dr Victor Lang - Cacapava do Sul,80000,Juvir Costella,MDB
2023,Sao Lourenco do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Lourenco do Sul,Ep 458 - Santa Casa - Sao Lourenco do Sul,80000,Zé Nunes,PT
2023,Dois Irmaos,Secretaria de Desenvolvimento Rural,Emenda Parlamentar 2023 de Dois Irmaos,Ep 82 - Agricultura Familiar - Dois Irmaos,80000,Elton Weber,PSB
2024,Caxias do Sul,Secretaria de Desenvolvimento Urbano e Metropolitano,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 223 - Apoio Gestao Municipal - Caxias do Sul,80000,Neri o Carteiro,PSDB
2024,Sao Pedro da Serra,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 301 - Ctg Estancia do Imigrante - Sao Pedro da Serra,80000,Dirceu Franciscon,UNIÃO
2024,Linha Nova,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 101 - Agricultura Familiar - Linha Nova,80000,Elton Weber,PSB
2024,Novo Hamburgo,Secretaria de Desenvolvimento Urbano e Metropolitano,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 465 - Apoio Gestao Municipal - Novo Hamburgo,80000,Gaúcho da Geral,PSD
2024,Porto Alegre,Secretaria da Educação,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 610 - Col Estadual Julio de Castilhos - Porto Alegre,80000,Laura Sito,PT
2024,Porto Alegre,"Secretaria de Justiça, Cidadania e Direitos Humanos",Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,Ep 253 - Abrigo Joao Paulo Ii - Porto Alegre,80000,Kaká D´Ávila,PSDB
2024,Porto Alegre,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 228 - Associacao dos Moradores das Vilas Elizabeth e Parque - Porto Alegre,80000,Neri o Carteiro,PSDB
2025,Santa Maria,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 532 - Agricultura Familiar - Santa Maria,80000,Elton Weber,PSB
2025,Alecrim,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 526 - Agricultura Familiar - Alecrim,80000,Elton Weber,PSB
2025,Nova Petropolis,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 523 - Agricultura Familiar - Nova Petropolis,80000,Elton Weber,PSB
2025,Ametista do Sul,Secretaria do Esporte e Lazer,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 996 - Projetos Esportivos - Ametista do Sul,80000,Eduardo Loureiro,PDT
2025,Marau,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 425 - Ctg Sentinelas do Pago - Marau,80000,Dirceu Franciscon,UNIÃO
2025,Sao Marcos,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 533 - Agricultura Familiar - Sao Marcos,80000,Elton Weber,PSB
2025,Pelotas,"Secretaria de Justiça, Cidadania e Direitos Humanos",Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,Ep 240 - Instituto de Menores Dom Antonio Zattera - Pelotas,80000,Adriana Lara,PL
2025,Marata,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 517 - Agricultura Familiar - Marata,80000,Elton Weber,PSB
2025,Linha Nova,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 522 - Agricultura Familiar - Linha Nova,80000,Elton Weber,PSB
2025,Harmonia,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 530 - Agricultura Familiar - Harmonia,80000,Elton Weber,PSB
2025,Tupandi,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 531 - Agricultura Familiar - Tupandi,80000,Elton Weber,PSB
2025,Sao Leopoldo,Secretaria da Cultura,Ações de Apoio Cultural - Ep,Ep 283 - Estacao Primeira de Sao Leopoldo - Sao Leopoldo,80000,Miguel Rossetto,PT
2025,Ivoti,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 528 - Agricultura Familiar - Ivoti,80000,Elton Weber,PSB
2025,Serio,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 518 - Agricultura Familiar - Serio,80000,Elton Weber,PSB
2025,Porto Alegre,"Secretaria de Justiça, Cidadania e Direitos Humanos",Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,Ep 49 - Movimento Pelos Direitos da Crianca e do Adolescente - Porto Alegre,80000,Sofia Cavedon,PT
2025,Porto Alegre,Secretaria de Trabalho e Desenvolvimento Profissional,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,Ep 288 - Guayi - Porto Alegre,80000,Miguel Rossetto,PT
2025,Ronda Alta,Governo do Estado,Atuação da Defesa Civil Estadual - Ep,Ep 1193 - Defesa Civil - Ronda Alta,80000,Eduardo Loureiro,PDT
2025,Boa Vista das Missoes,"Secretaria de Justiça, Cidadania e Direitos Humanos",Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,Ep 1003 - Acoes Para Criancas e Adolescentes - Boa Vista das Missoes,80000,Eduardo Loureiro,PDT
2024,Caxias do Sul,Secretaria da Educação,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 619 - Esc Est Ens Med Prof Apolinario Alves dos Santos - Caxias do Sul,78025,Prof Claudio Branchieri,PODE
2024,Porto Alegre,"Secretaria de Justiça, Cidadania e Direitos Humanos",Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,Ep 1146 - Associacao Beneficente Nossa Senhora da Assuncao - Porto Alegre,78000,Bruna Rodrigues,PCdoB
2023,Alegrete,Secretaria da Educação,Emenda Parlamentar 2023 de Alegrete,Ep 486 - Inst Est Educ Oswaldo Aranha - Alegrete,76924,Tenente Coronel Zucco,REPUBLICANOS
2023,Alvorada,Secretaria da Educação,Emenda Parlamentar 2023 de Alvorada,Ep 486 - Esc Est Ens Med Carlos Drummond de Andrade - Alvorada,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Cachoeira do Sul,Secretaria da Educação,Emenda Parlamentar 2023 de Cachoeira do Sul,Ep 486 - Esc Est Ens Fun Rio Jacui - Cachoeira do Sul,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Canela,Secretaria da Educação,Emenda Parlamentar 2023 de Canela,Ep 486 - Esc Est Ens Med Adolfo Seibt - Canela,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Caxias do Sul,Secretaria da Educação,Emenda Parlamentar 2023 de Caxias do Sul,Ep 486 - Esc Est Ens Med Alexandre Zattera - Caxias do Sul,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Novo Hamburgo,Secretaria da Educação,Emenda Parlamentar 2023 de Novo Hamburgo,Ep 486 - Esc Est Ens Med Osvaldo Aranha - Novo Hamburgo,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Porto Alegre,Secretaria da Educação,Emenda Parlamentar 2023 de Porto Alegre,Ep 486 - Esc Est Ens Med Visconde do Rio Grande - Porto Alegre,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Quarai,Secretaria da Educação,Emenda Parlamentar 2023 de Quarai,Ep 486 - Inst Estadual Dr Luiz Pacheco Prates - Quarai,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Rosario do Sul,Secretaria da Educação,Emenda Parlamentar 2023 de Rosario do Sul,Ep 486 - Esc Est Ens Fun Padre Jose de Anchieta - Rosario do Sul,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Santa Cruz do Sul,Secretaria da Educação,Emenda Parlamentar 2023 de Santa Cruz do Sul,Ep 486 - Esc Est Ens Med Santa Cruz - Santa Cruz do Sul,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Sao Borja,Secretaria da Educação,Emenda Parlamentar 2023 de Sao Borja,Ep 486 - Esc Est Ens Med Apparicio Silva Rillo - Sao Borja,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Sao Leopoldo,Secretaria da Educação,Emenda Parlamentar 2023 de Sao Leopoldo,Ep 486 - Esc Est Ens Med Cristo Rei - Sao Leopoldo,76923,Tenente Coronel Zucco,REPUBLICANOS
2023,Tramandai,Secretaria da Educação,Emenda Parlamentar 2023 de Tramandai,Ep 486 - Esc Est Ens Med Nossa Senhora Aparecida - Tramandai,76923,Tenente Coronel Zucco,REPUBLICANOS
2022,Julio de Castilhos,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",Emenda Parlamentar 2022 de Julio de Castilhos,Ep 300 - Veiculo - Julio de Castilhos,75000,Patrícia Alba,MDB
2022,Encruzilhada do Sul,Secretaria da Saúde,Emenda Parlamentar 2022 de Encruzilhada do Sul,Ep 304 - Atencao Basica - Encruzilhada do Sul,75000,Patrícia Alba,MDB
2022,Entre-ijuis,Secretaria da Saúde,Emenda Parlamentar 2022 de Entre-ijuis,Ep 305 - Atencao Basica - Entre - Ijuis,75000,Patrícia Alba,MDB
2022,Sao Francisco de Assis,Secretaria da Saúde,Emenda Parlamentar 2022 de Sao Francisco de Assis,Ep 382 - Atencao Basica - Sao Francisco de Assis,75000,Vilmar Zanchin,MDB
2022,Getulio Vargas,Secretaria da Saúde,Emenda Parlamentar 2022 de Getulio Vargas,Ep 383 - Hospital Sao Roque - Getulio Vargas,75000,Vilmar Zanchin,MDB
2022,Julio de Castilhos,Secretaria da Saúde,Emenda Parlamentar 2022 de Julio de Castilhos,Ep 387 - Hospital Bernardina Salles de Barros - Julio de Castilhos,75000,Vilmar Zanchin,MDB
2022,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2022 de Pelotas,Ep 194 - Sociedade Portuguesa de Beneficencia - Pelotas,75000,Faisal Karam,PSDB
2022,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2022 de Pelotas,Ep 195 - Hospital Universitario Sao Francisco de Paula - Pelotas,75000,Faisal Karam,PSDB
2022,Rio Grande,Secretaria da Saúde,Emenda Parlamentar 2022 de Rio Grande,Ep 117 - Santa Casa - Rio Grande,75000,Juliana Brizola,PDT
2022,Santa Maria,Secretaria da Saúde,Emenda Parlamentar 2022 de Santa Maria,Ep 118 - Hospital Regional de Santa Maria - Santa Maria,75000,Juliana Brizola,PDT
2022,Santo Antonio da Patrulha,Secretaria da Saúde,Emenda Parlamentar 2022 de Santo Antonio da Patrulha,Ep 308 - Veiculo - Santo Antonio da Patrulha,75000,Patrícia Alba,MDB
2022,Santo Antonio do Palma,Secretaria da Saúde,Emenda Parlamentar 2022 de Santo Antonio do Palma,Ep 385 - Veiculo - Santo Antonio do Palma,75000,Vilmar Zanchin,MDB
2023,Pelotas,Secretaria da Educação,Emenda Parlamentar 2023 de Pelotas,Ep 561 - Esc Est Ens Med Marechal Rondon - Pelotas,75000,Fernando Marroni,PT
2023,Girua,Secretaria da Saúde,Emenda Parlamentar 2023 de Girua,Ep 239 - Atencao Basica - Girua,75000,Ernani Polo,PP
2023,Ibiraiaras,Secretaria da Saúde,Emenda Parlamentar 2023 de Ibiraiaras,Ep 333 - Atencao Basica - Ibiraiaras,75000,Vilmar Zanchin,MDB
2023,Restinga Seca,Secretaria da Saúde,Emenda Parlamentar 2023 de Restinga Seca,Ep 338 - Hospital de Caridade Sao Francisco - Restinga Seca,75000,Vilmar Zanchin,MDB
2023,Cruz Alta,Secretaria da Saúde,Emenda Parlamentar 2023 de Cruz Alta,Ep 305 - Transporte Sanitario Eletivo - Cruz Alta,75000,Gabriel Souza,MDB
2023,Entre-ijuis,Secretaria da Saúde,Emenda Parlamentar 2023 de Entre-ijuis,Ep 242 - Transporte Sanitario Eletivo - Entre - Ijuis,75000,Ernani Polo,PP
2023,Roque Gonzales,Secretaria da Saúde,Emenda Parlamentar 2023 de Roque Gonzales,Ep 240 - Transporte Sanitario Eletivo - Roque Gonzales,75000,Ernani Polo,PP
2023,Sao Martinho,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Martinho,Ep 241 - Transporte Sanitario Eletivo - Sao Martinho,75000,Ernani Polo,PP
2023,Triunfo,Secretaria da Saúde,Emenda Parlamentar 2023 de Triunfo,Ep 306 - Transporte Sanitario Eletivo - Triunfo,75000,Gabriel Souza,MDB
2023,Nao-me-toque,Secretaria de Desenvolvimento Urbano e Metropolitano,Emenda Parlamentar 2023 de Nao-me-toque,Ep 348 - Veiculo - Nao - Me - Toque,75000,Ernani Polo,PP
2023,Pelotas,Secretaria de Desenvolvimento Urbano e Metropolitano,Emenda Parlamentar 2023 de Pelotas,Ep 112 - Pavimentacao de Vias - Pelotas,75000,Fernando Marroni,PT
2023,Sao Sepe,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Sao Sepe,Ep 62 - Escritorio Municipal da Cidadania - Sao Sepe,75000,Dalciso Oliveira,PSB
2023,Sao Borja,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Sao Borja,Ep 247 - Apae - Sao Borja,75000,Ernani Polo,PP
